timestamp,temperature_C,humidity_%,solar_irradiation_W/m2
2020-01-01 00:00:00,22.44,53.23,352.06
2020-01-01 00:15:00,21.54,74.2,373.59
2020-01-01 00:30:00,20.2,55.52,354.47
2020-01-01 00:45:00,23.4,37.61,177.33
2020-01-01 01:00:00,19.45,79.53,396.43
2020-01-01 01:15:00,24.41,47.59,258.16
2020-01-01 01:30:00,26.69,63.11,319.14
2020-01-01 01:45:00,22.83,68.52,140.92
2020-01-01 02:00:00,19.14,73.5,247.94
2020-01-01 02:15:00,21.63,67.92,247.73
2020-01-01 02:30:00,23.14,49.74,390.8
2020-01-01 02:45:00,23.53,41.06,388.51
2020-01-01 03:00:00,29.4,50.52,590.38
2020-01-01 03:15:00,21.55,49.09,487.41
2020-01-01 03:30:00,21.44,58.29,617.19
2020-01-01 03:45:00,26.87,41.95,419.73
2020-01-01 04:00:00,47.64,94.05,0.0
2020-01-01 04:15:00,20.93,59.2,273.87
2020-01-01 04:30:00,19.57,63.56,329.98
2020-01-01 04:45:00,26.12,69.69,352.4
2020-01-01 05:00:00,21.53,54.68,334.07
2020-01-01 05:15:00,19.49,59.14,411.58
2020-01-01 05:30:00,27.33,57.04,327.11
2020-01-01 05:45:00,26.52,62.59,427.53
2020-01-01 06:00:00,24.16,61.2,478.34
2020-01-01 06:15:00,21.56,80.12,313.96
2020-01-01 06:30:00,-1.93,4.18,1207.76
2020-01-01 06:45:00,30.57,60.95,538.88
2020-01-01 07:00:00,20.02,45.83,404.31
2020-01-01 07:15:00,19.43,71.01,618.72
2020-01-01 07:30:00,17.91,56.09,498.89
2020-01-01 07:45:00,24.93,51.07,478.71
2020-01-01 08:00:00,17.3,57.76,257.84
2020-01-01 08:15:00,20.65,59.41,359.27
2020-01-01 08:30:00,14.15,59.3,303.78
2020-01-01 08:45:00,24.53,55.53,428.09
2020-01-01 09:00:00,25.55,47.74,505.75
2020-01-01 09:15:00,23.01,66.95,552.84
2020-01-01 09:30:00,25.41,68.66,268.31
2020-01-01 09:45:00,24.88,70.45,424.07
2020-01-01 10:00:00,25.1,57.44,171.22
